# Merged trace: sim_log.txt + trace_dump.txt
# Total instructions traced: 842
#
#         PC     Next PC  Instr     Cycles
# ----------  ----------  --------  ------
  0x00000000  0x00000004  lui           36
  0x00000004  0x00000008  lui           36
  0x00000008  0x0000000c  li            36
  0x0000000c  0x00000010  sb            70
  0x00000010  0x00000048  jal           68
  0x00000048  0x0000004c  li            36
  0x0000004c  0x00000050  addi          36
  0x00000050  0x00000054  li            36
  0x00000054  0x00000058  lw            70
  0x00000058  0x0000005c  li            36
  0x0000005c  0x00000060  li            36
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000074  bnez          68
  0x00000074  0x00000078  addi          36
  0x00000078  0x0000007c  add           36
  0x0000007c  0x00000054  bne           68
  0x00000054  0x00000058  lw            70
  0x00000058  0x0000005c  li            36
  0x0000005c  0x00000060  li            36
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
  0x00000060  0x00000064  andi          36
  0x00000064  0x00000068  addi          36
  0x00000068  0x0000006c  add           36
  0x0000006c  0x00000070  srli          69
  0x00000070  0x00000060  bnez          68
